,acc,v,v^1/2,v^3,delta_dis^1/2,y
0,0.0,0.0,0.0,0.0,0.0,38.50971429
1,3.5832419388888885,12.89967098,3.591611195549986,2146.5247475348,0.042426406871192854,38.50358652
2,3.3395606,24.92208914,4.992202834420893,15479.371922231072,0.07348469228349534,38.48840334
3,1.1634517055555558,29.11051528,5.395416135943548,24668.893986791296,0.08717797887081347,38.4810957
4,0.965165533333333,32.5851112,5.708336990753086,34598.52801338404,0.09273618495495704,38.47421262
5,0.861605058333333,35.68688941,5.973850467663214,45449.18345935791,0.09746794344808964,38.4674075
6,0.6406483194444451,37.99322336,6.1638643203756525,54842.64883041367,0.10099504938362078,38.46168933
7,0.8299238666666654,40.98094928,6.401636453282864,68824.9718525076,0.10488088481701516,38.45425277
8,0.4340484333333331,42.54352364,6.522539661818853,77001.71033087008,0.10770329614269007,38.44950386
9,0.2121010666666676,43.30708748,6.580812068430461,81222.60826167284,0.10908712114635714,38.44630606
10,0.17321514722222195,43.93066201,6.628020972356681,84781.91924462495,0.11,38.44332015
11,0.0523869944444439,44.11925519,6.642232696164746,85878.51311718862,0.11045361017187261,38.44113525
12,-0.16272063055555383,43.53346092,6.597989157311491,82502.9704272023,0.11045361017187261,38.44049516
13,-0.30359914166666807,42.44050401,6.514637672963862,76443.68221462052,0.10908712114635714,38.44080985
14,-0.09181937222222085,42.10995427,6.489218309627131,74671.4026588086,0.10816653826391968,38.43972981
15,0.0704562916666656,42.36359692,6.508732358915982,76028.86051189131,0.10816653826391968,38.43749293
16,0.14473782777777838,42.8846531,6.548637499510872,78868.885544067,0.10862780491200216,38.43474723
17,0.18827755000000027,43.56245228,6.600185776173274,82667.91021156152,0.10954451150103323,38.43168701
18,0.17927294999999985,44.2078349,6.648897269472585,86396.81586232722,0.11045361017187261,38.42864718
19,0.11509889444444434,44.62219092,6.679984350281069,88849.02577027053,0.11135528725660043,38.42601143
20,-0.09176618888888852,44.29183264,6.655210938805772,86890.23077767275,0.11135528725660043,38.42487975
21,-0.3806815500000008,42.92137906,6.551440991110276,79071.68654137877,0.11045361017187261,38.42561428
22,-0.7650808388888879,40.16708804,6.337751023825407,64805.377466406266,0.10770329614269007,38.42839036
23,-0.734230747222223,37.52385735,6.125671991708338,52835.08724087073,0.10392304845413264,38.43078824
24,-0.7534099583333326,34.8115815,5.900134023901491,42186.2829841247,0.1004987562112089,38.43302499
25,-1.0271230194444452,31.11393863,5.577986969328631,30120.693876503377,0.09539392014169457,38.43607216
26,-0.6513638527777774,28.76902876,5.363676794886135,23810.88849078494,0.0916515138991168,38.43735714
27,-1.7063031361111116,22.62633747,4.756714987257488,11583.579427106613,0.08485281374238571,38.44141507
28,-1.5520026388888888,17.03912797,4.127847861779792,4947.002090794696,0.07348469228349534,38.44379436
29,-0.44874962222222176,15.42362933,3.9272928755059766,3669.101604451639,0.0670820393249937,38.44370474
30,-0.36416669444444477,14.11262923,3.7566779513288067,2810.7602004053815,0.06403124237432849,38.44337211
31,-0.739925469444444,11.44889754,3.383621955833719,1500.6900609618203,0.06,38.44316238
32,-0.6982426616666669,8.935223958,2.9891844971496826,713.3724402595623,0.05291502622129181,38.44279541
33,0.1414590963888888,9.444476705,3.0731867344826282,842.4297575437195,0.05,38.44190587
34,1.0059365958333337,13.06584845,3.614671278276906,2230.5545543864177,0.055677643628300216,38.43868287
35,0.9048201138888887,16.32320086,4.040198121379693,4349.266043856099,0.06403124237432849,38.43497772
36,0.6784010861111106,18.76544477,4.331910060239016,6608.099702470353,0.06928203230275509,38.43154509
37,1.242478702777778,23.2383681,4.820619057755964,12549.224253846498,0.07615773105863909,38.42508741
38,0.8100346166666671,26.15449272,5.114146333455858,17891.176627633897,0.08306623862918075,38.42004112
39,0.417499719444444,27.65749171,5.259039048153189,21156.23452362427,0.08660254037844387,38.41677552
40,0.15460943611111153,28.21408568,5.311693296868711,22459.389276464128,0.08831760866327847,38.41475911
41,0.28402978611111074,29.23659291,5.407087285221129,24990.807085343662,0.0888819441731559,38.41205195
42,0.6317359861111113,31.51084246,5.613451920164633,31288.161403399346,0.0916515138991168,38.40722164
43,0.7632875722222228,34.25867772,5.853091296058861,40207.93688677117,0.09539392014169457,38.40124568
44,0.7799751250000003,37.06658817,6.08823358372525,50926.970081707535,0.099498743710662,38.39474057
45,0.6059768222222218,39.24810473,6.264830782231871,60458.31920228877,0.10295630140987,38.38910246
46,0.8344292388888894,42.25204999,6.500157689625691,75429.86923849344,0.1063014581273465,38.38144976
47,0.7179642277777769,44.83672121,6.696022790433139,90136.67609278408,0.11,38.3742957
48,0.5973363111111101,46.98713193,6.854716035693966,103737.746645778,0.11269427669584645,38.36782201
49,0.850121400000001,50.04756897,7.074430646348864,125357.10680367543,0.1161895003862225,38.35873119
50,0.3948862750000003,51.46915956,7.174200970142947,136345.63224970488,0.11874342087037917,38.35328798
51,0.13348472500000005,51.94970457,7.207614346647579,140200.3979669347,0.12,38.34999075
52,0.03005916666666645,52.05791757,7.215117294264869,141078.35081552799,0.12041594578792296,38.3475222
53,-0.05564769166666631,51.85758588,7.2012211381126185,139455.8977280737,0.12,38.34581969
54,-0.1450160500000012,51.3355281,7.164881583110777,135286.3881409546,0.11958260743101398,38.34496456
55,-0.22379733333333243,50.5298577,7.10843567179165,129016.19388445339,0.11916375287812986,38.34467305
56,-0.4564450666666669,48.88665546,6.991899274160062,116834.46632900235,0.1174734012447073,38.34613801
57,-0.4292827861111112,47.34123743,6.8804968883068325,106100.83864400673,0.11532562594670795,38.34737422
