,acc,v,v^1/2,v^3,delta_dis^1/2,y
0,0.0,0.0,0.0,0.0,0.0,38.50971429
1,3.5832419388888885,12.89967098,3.591611195549986,2146.5247475348,0.042426406871192854,38.50358652
2,3.6434978722222224,26.01626332,5.100614014018312,17609.002647916615,0.07348469228349534,38.48660654
3,2.9337434222222214,36.57773964,6.047953343074002,48938.49313393894,0.09433981132056604,38.46675927
4,0.601666736111112,38.74373989,6.224446954549456,58157.35159120765,0.10295630140987,38.46115271
5,-0.14094021111111132,38.23635513,6.183555217672112,55902.27209405571,0.10344080432788601,38.46042902
6,-0.0597127027777786,38.0213894,6.1661486683342295,54964.71104631906,0.10295630140987,38.45921684
7,0.1459393777777783,38.54677116,6.2086046065118365,57274.85741907644,0.10295630140987,38.45668724
8,0.18318749444444413,39.20624614,6.261489131189161,60265.08679403003,0.10392304845413264,38.45390515
9,0.3450513305555564,40.44843093,6.359908091317044,66176.68947498746,0.10535653752852739,38.44999106
10,0.37727086111111025,41.80660603,6.46580281403632,73069.26443226977,0.10677078252031312,38.44573062
11,0.22215211944444607,42.60635366,6.527354261873643,77343.37226347892,0.10816653826391968,38.44251014
12,0.1322237111111097,43.08235902,6.563715336606243,79964.72105063652,0.10908712114635714,38.43983233
13,0.10866078611111143,43.47353785,6.593446583540357,82162.74735347994,0.10954451150103323,38.43728529
14,0.08612646388888873,43.78359312,6.61691719156285,83933.28052198437,0.11,38.43486838
15,0.06097331666666742,44.00309706,6.633483026284156,85201.98899062476,0.11045361017187261,38.43261924
16,0.017713041666667095,44.06686401,6.638287731787468,85572.93661406534,0.11045361017187261,38.43068755
17,-0.03056864444444566,43.95681689,6.6299937322745635,84933.43856768354,0.11045361017187261,38.42912243
18,-0.22224931111111149,43.15671937,6.569377395918124,80379.49455852869,0.11,38.4289132
19,-0.16869543055555486,42.54941582,6.522991324538152,77033.7084405111,0.10908712114635714,38.42833974
20,0.10449517500000066,42.92559845,6.551763003192347,79095.00828148636,0.10908712114635714,38.42584891
21,0.07682858611110967,43.20218136,6.572836629644768,80633.78144054933,0.10954451150103323,38.42352525
22,-0.015597874999999404,43.14602901,6.568563694598691,80319.77688931875,0.10954451150103323,38.42187464
23,-0.16300827499999887,42.55919922,6.5237411981163085,77086.8578106667,0.10908712114635714,38.42129482
24,-0.15099175833333373,42.01562889,6.481946381296285,74170.73886673509,0.10862780491200216,38.42058018
25,-0.44007539166666654,40.43135748,6.358565677886799,66092.92447944006,0.10723805294763608,38.42166649
26,-0.3974827916666671,39.00041943,6.245031579583886,59320.913879672895,0.10488088481701516,38.42245501
27,-0.325790675,37.827573,6.150412425195566,54128.43045157825,0.10344080432788601,38.42272689
28,-0.5563444500000002,35.82473298,5.9853765946680415,45977.874043351454,0.10099504938362078,38.42413519
29,-0.09821560277777881,35.47115681,5.955766685322722,44629.914685915384,0.099498743710662,38.42330451
30,-0.04643778333333317,35.30398079,5.941715307047284,44001.85994606074,0.09899494936611665,38.42207388
31,-0.13420646944444276,34.8208375,5.900918360729964,42219.94247767449,0.09899494936611665,38.42128355
32,-0.5486188333333352,32.8458097,5.7311263901610126,35435.61031429258,0.09695359714832658,38.42255235
33,-0.4900688249999992,31.08156193,5.575084028963151,30026.76225517193,0.09433981132056604,38.42349315
34,-0.4982248499999997,29.28795247,5.4118344828717735,25122.74170423015,0.0916515138991168,38.42434037
35,-0.8213873916666663,26.33095786,5.131369978865293,18255.762373119534,0.08774964387392122,38.42612194
36,-0.6993887750000007,23.81315827,4.8798727719070705,13503.644475855577,0.08366600265340755,38.42732014
37,-0.8122281555555548,20.88913691,4.57046353338477,9115.101078711,0.07937253933193772,38.42856188
38,-1.054310588888889,17.09361879,4.1344429842483015,4994.615299819706,0.07211102550927978,38.42982598
39,-0.6644069305555557,14.70175384,3.834286614221738,3177.660097511799,0.066332495807108,38.42995868
40,-0.5934866611111111,12.56520186,3.5447428482190353,1983.8480721620592,0.061644140029689765,38.42976166
41,-0.6993131777777778,10.04767442,3.169806684957302,1014.3706198664909,0.0565685424949238,38.42934028
42,-0.7815940744444444,7.233935752,2.68959769333631,378.5506025543469,0.04898979485566356,38.4290345
43,-0.7238811463888889,4.627963625,2.1512702352331283,99.12194388921641,0.04,38.42873127
44,-0.44027796472222214,3.042962952,1.7444090552390514,28.17669134287274,0.03162277660168379,38.42842804
45,-0.07587253333333334,2.769821832,1.6642781714605284,21.24983206804402,0.0282842712474619,38.42807959
46,0.06145824833333331,2.991071526,1.7294714585676167,26.759647949074765,0.0282842712474619,38.42762117
47,0.21584296416666665,3.768106197,1.941161043550998,53.50192425843146,0.03,38.42703131
48,0.16440643333333332,4.359969357,2.0880539641015026,82.88010847876359,0.033166247903554,38.42642636
49,0.02222451777777776,4.439977621,2.1071254402621595,87.52706049470768,0.03605551275463989,38.4259201
50,-0.44788821916666655,2.827580032,1.681540969468184,22.607092860203558,0.03162277660168379,38.42561687
51,-0.5788852361111111,0.743593182,0.8623184922057511,0.4111555881053029,0.022360679774997897,38.42531365
52,-0.20655366166666667,0.0,0.0,0.0,0.01,38.42501042
53,0.0,0.0,0.0,0.0,0.0,38.42470719
54,0.0,0.0,0.0,0.0,0.0,38.42440397
55,0.0,0.0,0.0,0.0,0.0,38.42410074
56,0.0,0.0,0.0,0.0,0.0,38.42379752
57,0.0,0.0,0.0,0.0,0.0,38.42349429
58,0.0,0.0,0.0,0.0,0.0,38.42319107
59,0.0,0.0,0.0,0.0,0.0,38.42288784
60,0.0,0.0,0.0,0.0,0.0,38.42258462
61,0.0,0.0,0.0,0.0,0.0,38.42228139
