Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,266,0,38.50971429,45.2899971,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1531053,266,3.06388462,38.50358652,45.09666443,12.89967098,0.001759528,500,471.7629982,-78.64875674,-37.10357329,79.9888014
2,293.1717289,266,11.55387423,38.48660654,44.61333211,26.01626332,0.00716517,333.1056386,464.1940034,-140.5319445,-65.23408592,79.95776825
3,293.2111504,260,24.03201872,38.46165025,44.45999908,38.85371701,0.016206224,160.04336,463.477608,-146.2717211,-67.7936674,79.91215207
4,293.2191796,260,29.16216932,38.45138995,43.70099983,43.03125588,0.02776879,131.8536681,478.0221474,-26.77618102,-12.79960755,79.89339603
5,293.219403,260,30.4180435,38.4488782,43.36499977,43.41225756,0.039800205,126.4015491,479.8382455,-11.83574402,-5.679242647,79.88880435
6,293.2193318,259,31.09829982,38.44751769,43.22999954,43.21376506,0.05184577,123.6322175,480.8034528,-3.894904537,-1.87268355,79.88631719
7,293.2191708,259,31.43085007,38.44685498,42.47999764,42.66684163,0.063760252,122.3220336,480.1986133,-8.8521814,-4.250805233,79.88510569
8,293.2191463,259,32.25533093,38.44520602,42.51249885,42.61610636,0.075598486,119.190239,479.7323292,-12.65978866,-6.0733099,79.88209118
9,293.2192356,260,33.31979804,38.44307708,42.70000076,42.80263072,0.087456337,115.3760807,479.3366622,-15.8817653,-7.61271237,79.87819918
10,293.2194098,260,34.53408687,38.44064851,43.13999987,43.13731735,0.09939593,111.3121903,479.5114538,-14.41685408,-6.913046661,79.87375933
11,293.2194677,260,35.5415456,38.43863359,43.20749855,43.25696134,0.111398612,108.1512718,479.756604,-12.37938435,-5.939091394,79.87007568
