Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,263,0,38.50971429,59.62999725,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1531053,263,3.06388462,38.50358652,59.82749939,12.89967098,0.001759528,500,471.7629982,-78.64875674,-37.10357329,79.9888014
2,293.1717289,263,11.55387423,38.48660654,60.59999847,26.01626332,0.00716517,333.1056386,464.1940034,-140.5319445,-65.23408592,79.95776825
3,293.2130738,258,24.31724513,38.4610798,61.25,39.09534739,0.016209535,158.1638035,457.4027768,-196.1344247,-89.71243049,79.9111093
4,293.2863813,258,41.35811485,38.42699806,60.3522216,52.11826192,0.028879606,92.91283752,449.4383611,-261.6670411,-117.6032061,79.84880292
5,293.3309241,258,53.84079535,38.4020327,60.87111155,59.60307818,0.044657339,71.32515864,471.4254137,-80.59794022,-37.99591731,79.8031552
6,293.3351367,256,58.11569275,38.3934829,61.68000031,61.54819686,0.061523278,66.06388238,475.8210586,-44.28751675,-21.0729331,79.78752095
7,293.3367761,256,61.03688701,38.38764051,62.66999817,62.59435251,0.078782299,62.89252678,477.5410702,-30.04576771,-14.34808807,79.77683707
8,293.3372338,256,63.0200299,38.38367423,62.88999939,63.00261562,0.096234338,60.90710253,478.3111199,-23.65232806,-11.31317152,79.7695838
9,293.337274,252,64.49292232,38.38072844,63.06999969,63.05022631,0.113758993,59.51153562,479.9770013,-9.890273669,-4.747103897,79.76419664
10,293.3367948,252,64.91707012,38.37988019,62.16999817,62.41462017,0.131180692,59.12139923,480.0169028,-9.550851417,-4.584570116,79.76264538
11,293.3364584,252,65.79662887,38.37812108,61.89999771,62.0787049,0.148466092,58.3284003,479.47646,-13.98160966,-6.703852705,79.7594283
