Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,254,0,38.50971429,19.85000038,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1519247,254,2.513115885,38.50468805,15.55799942,11.61831566,0.001716596,500,476.9807981,-35.91040348,-17.12857291,79.99081451
2,293.152459,254,3.86006802,38.50199415,14.2659996,14.09600733,0.005406192,500,480.1535672,-9.882936507,-4.745327219,79.98589126
3,293.1526254,254.8,4.669806281,38.50037467,14.55999947,15.05001447,0.009428827,500,479.4120722,-15.93817942,-7.640955623,79.98293156
4,293.1533486,255,6.341874299,38.49703054,17.15999985,17.60659294,0.013924744,500,477.6804883,-30.08463071,-14.37084109,79.97681983
5,293.154756,255,8.690340835,38.4923336,21.2381812,20.90036273,0.019314417,442.9323813,478.7024591,-21.65431556,-10.36597411,79.96823554
6,293.1550218,256,9.479308169,38.49131206,21.73999977,20.32820533,0.025224509,406.0561316,482.3964991,15.48153582,7.468238681,79.9663685
7,293.1550937,256,9.525558475,38.49278004,15.2699995,15.39027723,0.030097654,404.0999816,481.3963245,0.740619411,0.356531462,79.96905148
8,293.1550796,256,9.662599234,38.49271848,13.56999978,12.7985339,0.03405269,398.3681569,481.2876034,-0.477416508,-0.229774647,79.96893897
9,293.1550722,257,9.837024547,38.4924121,9.609999657,9.191274522,0.037081225,391.3013729,481.1018777,-1.995419358,-0.96,79.96837901
10,293.1550708,257,10.04445151,38.49199725,7.017272603,7.573313467,0.039310559,383.2165171,480.6493693,-5.698015835,-2.738747718,79.96762079
11,293.1551115,257,10.47941972,38.49112731,8.88999939,8.030900244,0.041536638,367.3020866,481.0999445,-1.995427376,-0.96,79.96603084
12,293.1551136,257,10.7073682,38.49067141,6.049999714,6.769984039,0.04349889,359.4783582,480.5247897,-6.702444746,-3.220690852,79.96519761
13,293.1552744,257,11.52583765,38.48903447,8.859999657,8.930754643,0.045645032,333.9369825,479.6071449,-14.20121208,-6.81100278,79.9622058
14,293.1555737,257,12.63498929,38.48681617,11.77818151,11.39667632,0.048503314,304.6050558,480.0118768,-10.85769936,-5.21182465,79.9581514
15,293.1556508,258,13.22942608,38.4856273,12.06999969,12.05128691,0.051792903,290.9092735,480.7170409,-5.065102517,-2.434881094,79.95597847
16,293.1556531,258,13.4912172,38.48510371,11.55090886,10.8959389,0.05506081,285.2604263,480.9774321,-2.925061004,-1.40688833,79.9550215
17,293.1556456,258,13.6704133,38.48474532,8.135999679,8.219918802,0.05766292,281.5185208,481.0903441,-1.995467196,-0.96,79.95436645
18,293.1556384,258.8888889,13.85145847,38.48438323,7.339999676,7.527487477,0.059820484,277.8363254,480.8695811,-3.79988508,-1.827249147,79.95370465
