Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,246,0,38.50971429,22,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1531053,246,3.06388462,38.50358652,23.55555556,12.89967098,0.001759528,500,471.7629982,-78.64875674,-37.10357329,79.9888014
2,293.1620001,246,8.853665323,38.49200696,24.375,22.52053463,0.006928596,434.757872,475.9827231,-43.94451018,-20.91682762,79.96763854
3,293.163383,246,11.19926314,38.48731576,25,25.26034181,0.013598606,343.6593575,477.5601531,-30.96018087,-14.78534871,79.9590645
4,293.1650559,246,13.80158419,38.48211112,27.85714286,28.09252048,0.02100082,278.8238697,476.8129711,-37.02147289,-17.65231848,79.94955179
5,293.1669661,246,16.58050591,38.47655327,30.8,30.8889561,0.029211672,232.0589823,477.4369308,-31.840629,-15.20189218,79.93939321
6,293.1683799,246,18.98218512,38.47174992,32.42857143,33.02934777,0.0380803,202.6729255,476.8165917,-36.86751118,-17.57904103,79.93061343
7,293.170344,246,21.79864965,38.46611699,35.3,35.47289972,0.04761555,176.4610084,477.6948884,-29.60040906,-14.1399641,79.92031702
8,293.171174,246,23.66744863,38.46237939,36.3,36.7784041,0.057666953,162.5117265,478.7153679,-21.18957168,-10.1437736,79.91348491
9,293.171736,247,25.23872534,38.45923684,37.125,37.71888257,0.068013524,152.381851,478.6748128,-21.48358613,-10.28365157,79.9077404
10,293.1723584,247,26.88622338,38.45594184,38.2,38.70715994,0.078631103,143.0321444,478.7571823,-20.76805675,-9.94285633,79.90171711
11,293.1729169,247,28.45733021,38.45279963,39,39.5729168,0.089502169,135.1244103,478.664132,-21.49242533,-10.28765312,79.89597302
12,293.1734513,247,29.99112168,38.44973204,40,40.3632251,0.100618689,128.2037146,479.3787876,-15.59613409,-7.47645585,79.89036525
13,293.1735662,247,30.77787348,38.44815892,40,40.30203287,0.111848654,124.9214275,481.0618791,-1.778722467,-0.855675572,79.88748943
14,293.1735186,247,31.02063142,38.44785698,39,39.56535632,0.122923317,123.9428574,480.3576388,-7.548374153,-3.625919185,79.88693746
