Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,245,0,38.50971429,36,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1531053,245,3.06388462,38.50358652,39,12.89967098,0.001759528,500,471.7629982,-78.64875674,-37.10357329,79.9888014
2,293.1717289,245,11.55387423,38.48660654,44,26.01626332,0.00716517,333.1056386,464.1940034,-140.5319445,-65.23408592,79.95776825
3,293.2130738,245,24.31724513,38.4610798,48,39.09534739,0.016209535,158.1638035,457.4027768,-196.1344247,-89.71243049,79.9111093
4,293.2622818,245,38.14512083,38.43342404,52,50.03349693,0.028761258,100.7558063,465.9749671,-125.6216207,-58.53653058,79.86055146
5,293.2751444,245,45.29558532,38.41912312,55,54.63833138,0.043380092,84.81869224,472.6062547,-70.9606899,-33.53646588,79.83440472
6,293.2791065,245.5,49.27459643,38.41116509,57,56.66662411,0.058904732,77.95328196,478.3959421,-23.25291161,-11.12409856,79.81985399
7,293.2789265,246,49.85275784,38.41061297,56,55.89479083,0.074595336,77.04812057,482.1679029,13.90499205,6.704540856,79.81884444
8,293.2786691,246,49.87885453,38.4124242,54,54.13919572,0.089856648,77.01144015,481.4949825,3.969028316,1.91106722,79.82215623
9,293.2783053,245,50.00055333,38.41261871,53,53.12113673,0.104745186,76.82438723,481.0429391,-1.500471951,-0.721791437,79.82251188
10,293.277953,245,50.12059292,38.41284313,52.25,52.079631,0.119376185,76.64083942,481.8012213,8.463271627,4.077614607,79.82292223
11,293.2776241,245,50.19934951,38.41376032,50.66666667,50.72225323,0.133633437,76.52242646,481.0635667,-1.344921964,-0.646992957,79.82459926
12,293.2772684,243,50.35086888,38.4137486,50,49.80325789,0.147609441,76.29212654,481.5741889,5.104524935,2.458207455,79.82457784
13,293.2769219,243,50.44108472,38.41447044,48.66666667,48.53974454,0.161261466,76.15710616,481.3890776,2.36632888,1.139124877,79.82589768
14,293.2765616,243,50.56022088,38.41470728,47.66666667,47.51896411,0.174600012,75.97812393,481.2788027,0.73939927,0.355857195,79.82633073
15,293.2762012,243,50.69383103,38.41470282,46.75,46.6178381,0.187670151,75.77786496,481.0560064,-1.418700007,-0.68247416,79.82632257
