Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,245,0,38.50971429,24.1099987,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1531053,245,3.06388462,38.50358652,26.91999944,12.89967098,0.001759528,500,471.7629982,-78.64875674,-37.10357329,79.9888014
2,293.1678866,245,10.65547459,38.48840334,28.43636357,24.92208914,0.007128663,361.2077812,472.0915788,-75.80308226,-35.78599679,79.96105227
3,293.1713468,246,14.30929275,38.4810957,29.03199997,29.11051528,0.014712798,268.9238131,476.0967647,-42.88735633,-20.4185316,79.94769584
4,293.174272,246,17.75083335,38.47421262,32.44181789,32.5851112,0.023282468,216.7459513,475.6150155,-46.75565731,-22.23769268,79.93511489
5,293.1771375,246,21.1533921,38.4674075,35.65444438,35.68688941,0.03279141,181.8498297,476.7547559,-37.3307814,-17.79762757,79.92267598
6,293.1791487,246,24.01247621,38.46168933,37.25,37.99322336,0.043006899,160.1737738,475.5268472,-47.33065926,-22.50699917,79.91222352
7,293.1825789,246,27.73075551,38.45425277,40.84999847,40.98094928,0.053998137,138.6700509,476.5046029,-39.22569503,-18.69122423,79.89862945
8,293.1839361,246,30.10521202,38.44950386,42.11999893,42.54352364,0.065626328,127.7171004,478.4131349,-23.517364,-11.25101584,79.88994812
9,293.1844844,246,31.70411036,38.44630606,42.68428584,43.30708748,0.077555699,121.2659987,478.7771296,-20.49320441,-9.811677585,79.8841022
10,293.1849496,246,33.19707004,38.44332015,43.41799927,43.93066201,0.089679494,115.8033528,479.1715852,-17.22172518,-8.252161353,79.87864353
11,293.1851588,246,34.28951673,38.44113525,43.66999817,44.11925519,0.101922427,112.1075446,480.0813059,-9.734302074,-4.673256452,79.87464919
12,293.1851146,246,34.69492153,38.44049516,43.27999878,43.53346092,0.114124826,110.7957403,481.527999,3.833516736,1.845945643,79.87347898
13,293.185027,246,34.82680452,38.44080985,41.98299904,42.44050401,0.126045719,110.3770799,480.7692141,-4.088789967,-1.965764339,79.8740543
14,293.1850104,246,35.36682356,38.43972981,41.59545413,42.10995427,0.137773584,108.6886691,479.8015451,-12.01118949,-5.762987274,79.8720798
15,293.1852285,246,36.48526716,38.43749293,41.98799896,42.36359692,0.149497463,105.3507235,479.21004,-16.83452884,-8.067275237,79.86799032
16,293.1856038,246,37.85811797,38.43474723,42.54000092,42.8846531,0.161332424,101.5231324,478.8767684,-19.5339619,-9.354360548,79.86297056
17,293.1860922,246,39.38822474,38.43168701,43.2709087,43.56245228,0.17333836,97.57151349,478.7892965,-20.21381111,-9.678156403,79.85737571
18,293.1865714,246,40.90814133,38.42864718,43.92500038,44.2078349,0.18553062,93.9388736,478.8704065,-19.51135192,-9.343409026,79.85181803
19,293.186914,246,42.2260161,38.42601143,44.47545277,44.62219092,0.197882966,91.00079757,479.7782947,-12.03317266,-5.773255058,79.84699905
