Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
36,293.1666621,262,31.99763763,38.44363324,27.13999939,27.4174793,0.222801622,120.1452235,480.4013575,-7.136341429,-3.42830811,79.87921591
37,293.1666659,264.5,31.32680979,38.44275126,26.89833196,27.15584881,0.230388073,122.7151807,480.7059029,-4.629331305,-2.225346885,79.87760352
38,293.1666477,265,30.62805036,38.44207018,26.45399971,26.71161014,0.237867929,125.5126256,480.6698468,-4.916453029,-2.363190724,79.8763584
39,293.1666401,265,30.0262001,38.44128888,26.12428584,26.38277346,0.245237878,128.0258199,480.508111,-6.232438889,-2.994737438,79.87493004
40,293.1666402,267,29.49405377,38.44044181,26.01000023,26.08520815,0.252534557,130.3328533,480.8595984,-3.341119998,-1.60660962,79.87338146
41,293.166611,267,28.88270709,38.4399178,25.34999924,25.51433384,0.259694138,133.0897331,480.6639123,-4.938539753,-2.373777839,79.87242346
42,293.1666055,267,28.41997725,38.43911821,25.05727196,25.21702849,0.266735917,135.2538669,480.4901369,-6.352975598,-3.052542115,79.87096166
43,293.1667013,268,28.21108286,38.43770107,24.96999931,25.39382224,0.273734328,136.2503569,479.2900566,-16.17163627,-7.750904464,79.86837085
44,293.1671733,268,28.50335159,38.43483872,26.75454469,26.67614539,0.280969682,134.8432257,479.2536189,-16.43519205,-7.876625267,79.86313782
45,293.1674343,268,28.52689654,38.43262607,27.34333293,27.42533306,0.288494138,134.7241752,479.6702105,-12.99347032,-6.232580643,79.85909255
46,293.1675783,267.2,28.37501578,38.43088511,27.72999954,27.77994782,0.296173873,135.4391673,480.1864962,-8.740359691,-4.197002696,79.85590961
47,293.1676048,267,28.01684671,38.42978728,27.50599861,27.64883132,0.303878626,137.1667114,480.4936368,-6.209376716,-2.983566001,79.85390247
48,293.1676058,267,27.61884135,38.42888596,27.21908985,27.3743524,0.311521148,139.140109,480.5227925,-5.959286425,-2.863572954,79.85225459
49,293.1675871,265.2,27.17114332,38.42829569,26.98999977,26.84231497,0.319074801,141.4305436,481.2994036,0.741711198,0.356985157,79.8511754
50,293.1675571,264,26.62519266,38.42893569,25.74999931,25.05752439,0.326332323,144.3329863,481.9276211,9.966045443,4.802912572,79.85234551
51,293.1675778,264,26.1282556,38.43048052,22.60800019,21.85628901,0.332856677,147.0839888,481.9110068,9.687540117,4.668532212,79.85516991
52,293.1675681,262,25.73351919,38.43160851,19.31999969,18.78983601,0.338476496,149.3445503,481.5147985,3.835992085,1.847086956,79.85723219
53,293.1675243,262,25.44583197,38.43173965,17.05272761,17.00857198,0.343396154,151.0335354,480.8098831,-3.641369254,-1.750806325,79.85747194
