Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,245,0,38.50971429,12.7699995,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1522428,245,2.691884003,38.50433052,13.90999985,12.05085718,0.00172369,500,474.7706099,-54.01449044,-25.64449257,79.9901611
2,293.156611,245,6.855370589,38.49600354,20.21400032,19.66455109,0.006220039,500,475.1871055,-50.50596171,-23.99978176,79.97494288
3,293.1593984,245.5,10.16631869,38.48938165,24.20999908,24.11434431,0.012365746,378.5970401,477.3325845,-32.8467587,-15.67882822,79.96284033
4,293.1603789,246,12.1459844,38.48542232,25.81999969,26.21521915,0.019391271,316.857169,478.897675,-19.97297035,-9.565009064,79.95560382
5,293.16091,246,13.63017127,38.48245394,26.69999886,27.52634244,0.026845962,282.3328716,478.4344052,-23.73319352,-11.35477632,79.95017839
6,293.1619752,246,15.70993911,38.47829441,28.80999947,29.51802547,0.034756249,244.9296216,477.5653001,-30.80520813,-14.71149846,79.94257567
7,293.1638104,245,18.41299628,38.47288829,31.19499912,32.1063659,0.043290073,208.9442028,475.9049547,-44.34791491,-21.10539244,79.93269422
8,293.1666515,245,21.76616655,38.46618195,34.96999983,35.19674357,0.05267288,176.7246514,477.4137331,-31.90230217,-15.23059717,79.92043578
9,293.1686217,246.7777778,24.4522937,38.4608097,35.75,37.361047,0.062692917,157.2891695,473.8918234,-60.70643453,-28.76828295,79.91061557
10,293.1751559,247,29.50845583,38.45069737,41.63999974,41.65151233,0.073710308,130.3039969,475.7138588,-45.65559826,-21.71900083,79.89212996
11,293.1767879,247,32.09002915,38.44553423,42.36000061,43.37509778,0.085538573,119.8052331,477.2463972,-33.02900764,-15.7629749,79.88269119
12,293.1783654,247,34.65112964,38.44041203,44.13999939,45.00605249,0.097817407,110.9355234,477.3417904,-32.1851399,-15.3633123,79.873327
13,293.1794765,247,36.80564866,38.43610299,45.50599747,46.21023685,0.110507697,104.4299024,478.7315165,-20.73799743,-9.92793296,79.86544921
