Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,245,0,38.50971429,40,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1531053,245,3.06388462,38.50358652,37,12.89967098,0.001759528,500,471.7629982,-78.64875674,-37.10357329,79.9888014
2,293.1717289,245,11.55387423,38.48660654,36,26.01626332,0.00716517,333.1056386,464.1940034,-140.5319445,-65.23408592,79.95776825
3,293.1928503,245,20.49816125,38.46871796,37,35.67430427,0.015952901,187.6691158,471.8284913,-77.77543934,-36.69666821,79.92507138
4,293.1995796,245,25.70605534,38.45830218,40,40.27898586,0.026515739,149.6079491,472.2748561,-74.00007902,-34.94837667,79.90603184
5,293.2078726,245,31.48710213,38.44674008,45,44.94983093,0.038375929,122.103139,472.9711776,-68.16106741,-32.23822032,79.88489564
6,293.2135891,245.5,36.3193217,38.43707564,48,48.42277094,0.051359352,105.8309292,473.6654459,-62.35459641,-29.53521771,79.86722743
7,293.2176199,246,40.27227839,38.42916973,51,50.88957547,0.065217702,95.42338121,478.3672039,-23.66736403,-11.32169075,79.85277341
8,293.2175995,246,40.91972375,38.42795547,50,50.49935957,0.079337892,93.91059359,481.3367833,1.298941052,0.625228107,79.85055337
9,293.2174836,245,41.32644615,38.42743677,49,49.81655602,0.093238505,92.98509876,479.4175556,-15.02347609,-7.202518185,79.84960503
10,293.2178016,245,42.747492,38.42459468,49.66666667,50.15314572,0.107118252,89.8873662,478.9226947,-19.05083377,-9.123876647,79.84440876
11,293.2180743,245,44.10551566,38.42187863,50,50.41955877,0.121092844,87.11354591,479.355242,-15.46657102,-7.413981894,79.83944286
12,293.2183001,244.3333333,45.37930646,38.41933105,50,50.61220229,0.135112194,84.66266686,478.4822769,-22.60148787,-10.81441137,79.83478491
13,293.2189192,244,47.17074964,38.41574816,51,51.25829841,0.149268858,81.43976608,478.884669,-19.25424224,-9.220561421,79.82823392
14,293.2191067,244,48.40191289,38.41328584,51,51.38352173,0.163531399,79.36315642,479.4605833,-14.49603367,-6.950276761,79.8237317
15,293.2190883,243.3333333,49.1087762,38.41210714,51,50.9500645,0.177784174,78.21841656,481.7919714,8.343527947,4.019844778,79.8215765
16,293.2189576,243,49.15527807,38.41356841,49.2,49.31544743,0.19170129,78.14739316,481.6230104,5.826475293,2.806164571,79.82424837
17,293.2187923,243,48.11868663,38.41367139,48,48.35950362,0.205237325,79.83108867,480.1791215,-8.602003959,-4.130502704,79.82443666
18,293.2187314,243,45.58738009,38.41353372,48,47.43889047,0.218606869,84.26352566,482.5973935,20.15640572,9.727428863,79.82418494
19,293.2188257,243,43.02672636,38.41662494,45,44.73522517,0.231392364,89.28549343,482.2189873,14.52321388,7.003369488,79.82983704
20,293.2187465,243,40.89598636,38.41861022,43,42.63869371,0.243525141,93.94225117,482.0741792,12.3497584,5.953499644,79.83346695
21,293.2186475,242,39.06338023,38.42041962,41,40.57890015,0.255082954,98.35405792,482.0173338,11.47376368,5.530552976,79.83677524
22,293.2185084,242,37.49099764,38.4217076,39,38.80771469,0.266084014,102.4824892,481.4126017,2.552147172,1.22863581,79.83913015
23,293.2183297,242,36.1226041,38.42231979,38,37.46668264,0.27669972,106.3664172,481.8554226,9.050674464,4.361116568,79.84024946
24,293.218178,243,34.93357758,38.42302381,36,36.01596769,0.286858842,109.9888029,480.4440977,-6.542191935,-3.143157501,79.84153666
25,293.2180481,244,34.08062187,38.42207856,36,35.66452432,0.296828523,112.7387837,481.0986287,-1.157363318,-0.556805905,79.83980841
26,293.2178736,244,33.15440462,38.42173191,35,34.95826271,0.306617517,115.8872625,480.3373752,-7.402259896,-3.555582089,79.8391746
27,293.2177518,246,32.45676382,38.42073152,35,34.65155186,0.316301037,118.3751151,481.073535,-1.346709826,-0.647866456,79.83734551
28,293.2175588,246,31.59150626,38.42076529,34,33.68192613,0.325795476,121.6173897,481.2804983,0.630298419,0.303350337,79.83740725
29,293.2174273,246,30.94931746,38.42018463,33,33.11741487,0.335034516,124.1390369,479.6172124,-13.29481521,-6.376422212,79.83634559
30,293.2177842,247,30.9535146,38.41729223,34,34.03901135,0.344333439,124.11286,478.0018512,-26.51972405,-12.67647719,79.83105712
31,293.218966,247,31.42280143,38.41262685,36,35.90569652,0.35403807,122.2444375,477.1607209,-33.36802519,-15.92191096,79.82252676
32,293.2210582,247,32.17092441,38.40667226,38,38.31735026,0.364314266,119.383179,474.8679863,-52.11922579,-24.7497518,79.81163885
33,293.2252165,248,33.4256459,38.39837938,42,41.68466704,0.375448678,114.8770004,475.7830037,-44.51011772,-21.17715751,79.7964748
34,293.2273021,248,33.95990571,38.39233926,43.5,43.80421295,0.387328133,113.0519607,476.1737831,-41.22933887,-19.63233027,79.78542962
35,293.2292534,248,34.3552599,38.3865267,45.75,45.71699672,0.399789809,111.73406,477.9739121,-26.37769138,-12.60784834,79.77480023
36,293.2297358,247.5,34.10030955,38.38317915,46,46.45658675,0.412595593,112.5596209,478.3582438,-23.18058726,-11.08862501,79.76867843
37,293.2302505,247,33.86002048,38.37976159,47,47.20911193,0.425616815,113.3483118,479.0156452,-17.74013903,-8.497804141,79.76242847
38,293.2303387,247,33.35542862,38.37752591,47,47.3541273,0.43875801,115.0563117,479.5883295,-13.00969396,-6.239297391,79.75833986
39,293.2303157,247.5,32.78395829,38.3757216,47,47.30279139,0.451909828,117.0564008,479.9531195,-9.991750984,-4.795572055,79.75504009
40,293.2301752,248,32.10269695,38.37459391,46.75,46.94729277,0.465012707,119.5369784,480.8240004,-2.826222891,-1.358915796,79.75297773
41,293.2299813,248,31.36522945,38.37397873,46,46.35785292,0.477957442,122.3456018,480.079144,-8.935207296,-4.289606671,79.75185267
42,293.2298544,250,30.78363707,38.37281199,46,46.02530415,0.490804057,124.6532757,481.0675934,-0.803844347,-0.386703466,79.74971886
43,293.2296513,250,30.11348505,38.3725011,45,45.28769313,0.503467056,127.4263043,480.1332634,-8.472431876,-4.067896366,79.74915028
44,293.22958,250,29.68470782,38.37093213,45,45.16023583,0.516024765,129.2616129,479.781753,-11.33949905,-5.440484731,79.74628083
45,293.22955,250,29.3152165,38.36916288,45,45.12809802,0.52856405,130.8848013,479.7205856,-11.81989106,-5.670245062,79.74304507
46,293.2294628,250,28.89380057,38.367773,45,44.91120321,0.541088256,132.7889452,480.9720443,-1.526172931,-0.734046515,79.74050311
47,293.2292372,250,28.29438066,38.36792033,44,43.9267666,0.553431371,135.6026159,481.2687966,1.627575674,0.783301386,79.74077257
48,293.2290129,250.5,27.73306332,38.3681646,43,42.88725503,0.565488851,138.3480943,481.2645616,1.559890271,0.750719907,79.74121932
49,293.2288097,251,27.20050642,38.36884439,42,41.56749356,0.57724323,141.0593016,481.8781316,10.56793445,5.092456506,79.74246258
50,293.2287175,251,26.68414965,38.37091141,40,39.26240994,0.588496723,143.796643,482.419524,18.48384208,8.916966298,79.74624293
51,293.2288642,251,26.19519787,38.37436967,37,35.65861689,0.598954089,146.4939103,483.2622529,30.80037928,14.88466068,79.75256763
52,293.2292403,251,25.75635306,38.37886619,32,30.61549766,0.608163642,149.0073773,483.0153566,27.07004294,13.07524644,79.76079097
53,293.2292925,251,25.41848591,38.3816394,27,26.63991121,0.616017228,150.9989208,481.4169718,3.503013246,1.686410029,79.76586258
54,293.2290811,251,25.19235757,38.38144956,26,25.7752058,0.623263506,152.3535439,480.4138345,-6.278987207,-3.016512321,79.76551541
55,293.2289069,251,25.043183,38.38059334,26,25.48119073,0.630398083,153.2576483,480.9629885,-1.758953125,-0.845991352,79.76394957
56,293.2286972,251,24.84228963,38.38021484,25,24.79692648,0.637361653,154.4954809,480.4173299,-6.234945971,-2.995376096,79.76325737
57,293.2285492,251,24.74813888,38.37911391,25,24.72139489,0.64423494,155.0787883,480.2260543,-7.791959984,-3.741902199,79.761244
58,293.2284387,251,24.69163614,38.37778085,25,24.83659952,0.651108007,155.4282618,479.8339406,-10.9952649,-5.275901283,79.75880609
59,293.2284214,251,24.70536044,38.37597028,25.6,25.33783789,0.658074963,155.3345897,479.7194361,-11.91311102,-5.714950901,79.75549488
60,293.2287053,251,24.83562595,38.37334145,26,26.4188491,0.665208188,154.5092583,477.2264786,-32.3515172,-15.43900063,79.75068717
61,293.230902,251,25.46700125,38.36715776,30,29.75748327,0.672997582,150.6543994,475.951382,-42.74815601,-20.34604393,79.7393779
62,293.2338513,251,26.17838329,38.3600839,33,33.27581287,0.681731036,146.5334336,474.2962429,-56.25742157,-26.68268368,79.72644013
63,293.2386651,251,27.09920601,38.35113951,37.6,37.41835086,0.691572133,141.5212663,474.8431437,-51.66264233,-24.53165149,79.71008052
64,293.2421603,247,27.77766279,38.34344098,40,40.57500696,0.702395629,138.0369589,474.0042299,-58.46404913,-27.71220659,79.69599899
65,293.2480361,247,28.6998362,38.3335762,44,44.47909708,0.714198742,133.5672299,472.6168535,-69.75089823,-32.96545005,79.67795426
66,293.2544368,247,29.60336668,38.3233021,48,48.24094487,0.727106383,129.455891,474.181971,-56.775493,-26.92191518,79.65915976
