Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,255,0,38.50971429,37.75,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1531053,255,3.06388462,38.50358652,38.3522216,12.89967098,0.001759528,500,471.7629982,-78.64875674,-37.10357329,79.9888014
2,293.1717289,255,11.55387423,38.48660654,38.86499825,26.01626332,0.00716517,333.1056386,464.1940034,-140.5319445,-65.23408592,79.95776825
3,293.1976884,256.75,21.47750726,38.46675927,39.05999756,36.57773964,0.0160743,179.1025318,472.5049653,-72.21281494,-34.12091362,79.92149107
4,293.1999458,257,24.28078559,38.46115271,39.20999813,38.74373989,0.026645084,158.4015993,479.765267,-12.57902336,-6.034978503,79.91124259
5,293.1998492,257,24.65143234,38.46042902,38.0819992,38.23635513,0.037348272,156.0170155,480.6812933,-5.05424749,-2.42948222,79.90991969
6,293.199814,259,25.25751824,38.45921684,37.70999908,38.0213894,0.047920137,152.2683918,479.5636681,-14.20913107,-6.814183016,79.90770385
7,293.2000757,259,26.52232048,38.45668724,38.47999954,38.54677116,0.058550125,144.9974457,479.2295,-16.91978096,-8.108458167,79.90307972
8,293.2004256,259,27.91336543,38.45390515,38.95999908,39.20624614,0.069336966,137.7616227,478.5505203,-22.45653205,-10.74658509,79.89799397
9,293.2012506,259.5,29.87041153,38.44999106,40.27999878,40.44843093,0.080390795,128.7226693,477.7975869,-28.58657774,-13.65859786,79.89083875
10,293.2022523,260,32.00063099,38.44573062,41.77999955,41.80660603,0.091825481,120.1405392,478.3635709,-23.89070906,-11.4284449,79.88305022
11,293.2027591,260,33.6108682,38.44251014,42.46100083,42.60635366,0.103560142,114.375237,478.9924248,-18.6912738,-8.952978557,79.87716272
12,293.2030603,260.6666667,34.94977457,38.43983233,42.86000061,43.08235902,0.115464654,109.9859235,479.1860325,-17.06971126,-8.179567213,79.87226721
